X,Y,OBJECTID,FOLIO,PHASE,TASK_NAME,HNUM,PRE_DIR,ST_NAME,ST_TYPE,PERMITTYPE,PERMITNO,FILENO,LAT,LON,POINT_X,POINT_Y,CLASSIFCTN
-80.266637641140804,25.797166658686908,1,3031290000011,02,MDAD-FORMER PAMB (AREA 6) NON PETRO, , , , ,ARP,3,7691,25.79716,-80.26663,897456.8491,532641.0104,CONTAMINATED
-80.266516926431237,25.799861918063719,2,3031290000011,02,MDAD-FORMER PAMB (AREA 6) NON PETRO, , , , ,ARP,3,7691,25.79986,-80.26651,897491.1096,533620.8616,CONTAMINATED
-80.266211235129944,25.795392398339356,3,3031290000011,02,MDAD-FORMER PAMB (AREA 6) NON PETRO, , , , ,ARP,3,7691,25.79539,-80.26621,897600.7433,531996.9123,CONTAMINATED
-80.265577911176536,25.796784265655198,4,3031290000011,02,MDAD-FORMER PAMB (AREA 6) NON PETRO, , , , ,ARP,3,7691,25.79678,-80.26558,897806.3065,532503.9682,CONTAMINATED
-80.269164600238412,25.799403943290017,5,3031290000011,06,MDAD-FORMER PAMB (AREA 5) NON PETRO, , , , ,ARP,3,7691,25.7994,-80.26916,896620.8921,533449.5589,CONTAMINATED
-80.269153140430333,25.79787685376321,6,3031290000011,06,MDAD-FORMER PAMB (AREA 5) NON PETRO, , , , ,ARP,3,7691,25.79787,-80.26915,896627.7442,532894.5383,CONTAMINATED
-80.268451116917248,25.796893008505911,7,3031290000011,06,MDAD-FORMER PAMB (AREA 5) NON PETRO, , , , ,ARP,3,7691,25.79689,-80.26845,896860.7158,532538.2288,CONTAMINATED
-80.267760546924066,25.797436248122462,8,3031290000011,06,MDAD-FORMER PAMB (AREA 5) NON PETRO, , , , ,ARP,3,7691,25.79743,-80.26776,897086.8353,532736.9399,CONTAMINATED
-80.266637641140804,25.797166658686908,9,3031290000011,06,MDAD-FORMER PAMB (AREA 5) NON PETRO, , , , ,ARP,3,7691,25.79716,-80.26663,897456.8491,532641.0104,CONTAMINATED
-80.266516926431237,25.799861918063719,10,3031290000011,06,MDAD-FORMER PAMB (AREA 5) NON PETRO, , , , ,ARP,3,7691,25.79986,-80.26651,897491.1096,533620.8616,CONTAMINATED
-80.266211235129944,25.795392398339356,11,3031290000011,06,MDAD-FORMER PAMB (AREA 5) NON PETRO, , , , ,ARP,3,7691,25.79539,-80.26621,897600.7433,531996.9123,CONTAMINATED
-80.265577911176536,25.796784265655198,12,3031290000011,06,MDAD-FORMER PAMB (AREA 5) NON PETRO, , , , ,ARP,3,7691,25.79678,-80.26558,897806.3065,532503.9682,CONTAMINATED
-80.299229956953127,25.8045901718876,13,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80459,-80.29923,886718.6929,535280.7696,CONTAMINATED
-80.298999494166964,25.805447758629985,14,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80544,-80.299,886792.8564,535592.8742,CONTAMINATED
-80.29797002395307,25.804569327452263,15,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80456,-80.29797,887133.2601,535275.4025,CONTAMINATED
-80.297395094086383,25.805159449840353,16,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80515,-80.29739,887321.271,535490.8994,CONTAMINATED
-80.296666373541385,25.804501276095426,17,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.8045,-80.29666,887562.3022,535252.9583,CONTAMINATED
-80.296520875211442,25.805282751925674,18,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80528,-80.29652,887608.6543,535537.2516,CONTAMINATED
-80.295779303368008,25.805013712486357,19,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80501,-80.29578,887853.1587,535440.7704,CONTAMINATED
-80.295776188908903,25.804100936478985,20,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.8041,-80.29577,887855.9583,535109.0157,CONTAMINATED
-80.294582486898122,25.805854718813848,21,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80585,-80.29458,888245.2801,535748.5534,CONTAMINATED
-80.294556928031653,25.805680081494984,22,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80568,-80.29455,888254.0289,535685.1245,CONTAMINATED
-80.294392071007337,25.804331322624702,23,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80433,-80.29439,888310.8961,535195.1915,CONTAMINATED
-80.293218410410532,25.806064729674972,24,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80606,-80.29322,888693.6564,535827.2926,CONTAMINATED
-80.292708391907979,25.806868617856658,25,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80686,-80.29271,888859.8836,536120.3776,CONTAMINATED
-80.292295265691962,25.804790510064567,26,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80479,-80.29229,888999.8645,535365.7932,CONTAMINATED
-80.291701037318049,25.806340175888355,27,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80634,-80.2917,889192.3382,535930.0911,CONTAMINATED
-80.291680171250619,25.805377246801896,28,3030250010100,02,MDAD-NW CARGO AREA, , , , ,ARP,13,14974,25.80537,-80.29168,889201.087,535580.1389,CONTAMINATED
